field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,400,429,324,81.0,76.92,75.13
2,379,407,322,84.96,79.85,78.4
3,374,418,316,84.49,76.32,76.83
4,418,417,334,79.9,81.77,72.83
5,374,421,309,82.62,74.11,74.68
6,383,435,341,89.03,79.08,82.6
7,383,422,336,87.73,80.81,80.55
8,403,416,321,79.65,77.64,70.52
9,393,420,330,83.97,79.05,73.79
10,340,385,300,88.24,78.7,81.18
11,367,410,319,86.92,78.54,80.01
12,353,369,290,82.15,79.13,76.79
13,411,448,349,84.91,78.12,78.18
14,422,463,362,85.78,79.91,79.36
15,356,384,311,87.36,82.29,81.24
16,364,416,297,81.59,71.88,76.04
17,354,404,275,77.68,69.06,73.26
18,342,406,291,85.09,74.14,74.54
19,378,412,322,85.19,78.64,74.01
20,347,371,294,84.73,79.25,76.74
21,373,390,299,80.16,77.18,74.8
22,349,412,296,84.81,72.33,76.43
23,398,414,327,82.16,80.68,65.24
24,353,393,313,88.67,79.9,80.55
25,371,408,312,84.1,77.7,77.1
