field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,380,463,240,63.16,52.05,56.36
2,362,370,232,64.09,62.7,55.87
3,349,451,206,59.03,45.9,44.38
4,363,403,242,66.67,60.3,57.32
5,342,378,182,53.22,48.94,34.6
6,348,382,231,66.38,60.21,58.29
7,355,405,228,64.23,56.05,50.46
8,333,389,226,67.87,57.58,57.68
9,426,443,273,64.08,61.63,53.86
10,363,362,252,69.42,67.68,61.21
11,350,370,225,64.29,59.46,49.13
12,382,422,269,70.42,63.74,62.16
13,374,406,222,59.36,53.94,38.56
14,368,402,232,63.04,58.71,54.32
15,360,433,200,55.56,45.96,45.25
16,397,414,214,53.9,51.69,44.71
17,400,420,277,69.25,65.71,60.85
18,362,414,216,59.67,53.62,49.23
19,388,405,222,57.22,54.57,47.64
