,ID,condition,coords
e262,e262,e,"[[665 410]
 [656 422]
 [649 442]
 [645 453]
 [643 461]
 [642 471]
 [641 487]
 [639 503]]"
e201,e201,e,"[[730 551]
 [756 581]
 [765 589]
 [770 595]
 [781 610]
 [793 623]]"
v6006,v6006,v,"[[1730 3224]
 [1768 3190]
 [1816 3162]
 [1856 3142]
 [1904 3136]]"
e4052,e4052,e,"[[424 375]
 [448 370]
 [468 370]
 [490 370]
 [499 372]
 [515 380]]"
e270,e270,e,"[[589 417]
 [606 434]
 [627 467]
 [647 495]
 [668 525]
 [682 535]
 [686 544]
 [686 549]
 [705 578]]"
e313,e313,e,"[[ 950  240]
 [ 986  245]
 [1028  259]]"
e213,e213,e,"[[541 558]
 [573 597]
 [586 612]
 [605 631]
 [639 668]
 [652 677]
 [682 698]
 [704 703]]"
d593,d593,d,"[[753 622]
 [763 659]
 [765 677]
 [765 689]
 [767 704]
 [767 709]
 [767 721]]"
v6014,v6014,v,"[[ 783 2571]
 [ 819 2592]
 [ 867 2598]
 [ 933 2607]
 [ 963 2601]]"
e2230,e2230,e,"[[602 433]
 [597 502]
 [592 529]
 [590 545]
 [587 562]
 [585 575]
 [582 596]]"
d120,d120,d,"[[611 538]
 [621 537]
 [630 534]
 [643 529]
 [671 528]
 [696 527]
 [707 527]
 [716 527]
 [728 530]
 [739 531]
 [746 533]
 [754 536]
 [760 538]
 [766 540]]"
e4019,e4019,e,"[[625 485]
 [632 561]
 [639 588]
 [664 624]
 [684 650]
 [699 667]
 [719 678]
 [750 685]
 [783 685]
 [833 670]]"
e192,e192,e,"[[647 738]
 [692 698]
 [721 676]
 [755 654]]"
e4007,e4007,e,"[[554 328]
 [580 343]
 [591 350]
 [602 352]
 [610 356]
 [615 359]
 [620 362]
 [630 369]
 [641 378]
 [659 386]
 [682 396]
 [700 410]]"
e258,e258,e,"[[635 597]
 [647 600]
 [711 604]
 [725 607]
 [773 620]
 [798 629]]"
d132,d132,d,"[[606 338]
 [611 344]
 [613 348]
 [620 352]
 [626 354]
 [631 357]
 [638 360]
 [644 363]
 [648 366]
 [656 371]
 [663 372]
 [668 373]
 [670 373]
 [677 374]]"
e237,e237,e,"[[598 447]
 [593 462]
 [594 478]
 [590 494]
 [600 577]
 [602 599]
 [605 615]
 [610 638]]"
e4068,e4068,e,"[[690 284]
 [680 302]
 [666 332]
 [659 347]
 [652 357]
 [650 363]
 [635 384]]"
v720,v720,v,"[[607 490]
 [598 465]
 [585 429]
 [575 403]]"
e165,e165,e,"[[721 477]
 [713 499]
 [697 516]
 [689 530]
 [681 548]
 [680 566]
 [682 582]]"
v4135,v4135,v,"[[1087  183]
 [1059  196]
 [1012  210]
 [ 981  221]
 [ 965  225]
 [ 955  229]
 [ 949  230]
 [ 940  234]
 [ 930  238]
 [ 916  239]]"
d531,d531,d,"[[781 583]
 [801 618]
 [828 713]
 [845 767]]"
e177,e177,e,"[[709 587]
 [731 577]
 [745 575]
 [764 572]
 [815 539]
 [824 531]
 [830 524]
 [837 520]]"
d540,d540,d,"[[767 524]
 [773 498]
 [772 474]
 [783 456]
 [787 432]]"
d1906,d1906,d,"[[681 527]
 [726 555]
 [755 576]
 [778 591]
 [792 602]]"
e169,e169,e,"[[623 628]
 [645 627]
 [669 629]
 [699 639]
 [716 652]
 [740 671]
 [749 678]]"
e4081,e4081,e,"[[ 997  566]
 [1006  617]
 [1002  686]
 [ 988  740]
 [ 970  756]]"
e2380,e2380,e,"[[586 529]
 [585 518]
 [584 510]
 [586 504]
 [591 495]
 [596 487]
 [605 481]]"
e28,e28,e,"[[ 644 1003]
 [ 658  996]
 [ 674  988]
 [ 687  980]
 [ 701  971]
 [ 719  953]
 [ 731  940]
 [ 741  930]
 [ 751  920]
 [ 751  909]
 [ 751  906]]"
d576,d576,d,"[[606 415]
 [650 398]
 [705 382]
 [730 379]]"
e3,e3,e,"[[511 716]
 [525 717]
 [537 717]
 [547 716]
 [555 715]
 [560 714]
 [567 712]
 [575 710]
 [583 708]
 [591 705]
 [600 700]
 [602 699]]"
e295,e295,e,"[[418 521]
 [430 512]
 [498 445]
 [524 425]
 [542 413]]"
d564,d564,d,"[[371 685]
 [420 736]
 [463 770]
 [488 794]
 [504 805]
 [540 822]
 [563 841]
 [580 850]
 [605 853]
 [643 857]]"
e299,e299,e,"[[774 382]
 [787 418]
 [794 433]
 [795 441]
 [796 448]
 [799 457]
 [804 461]
 [804 465]
 [804 472]
 [804 477]
 [805 481]
 [807 487]
 [816 496]
 [818 501]
 [823 510]
 [823 513]]"
e71,e71,e,"[[692 463]
 [677 465]
 [663 465]
 [646 467]
 [630 469]
 [614 475]
 [598 481]
 [587 483]
 [570 485]
 [563 484]]"
d256,d256,d,"[[735 418]
 [739 425]
 [765 445]
 [779 458]
 [785 463]
 [794 469]
 [803 474]
 [815 482]
 [830 489]
 [840 491]]"
d507,d507,d,"[[809 586]
 [851 579]
 [891 567]
 [918 555]
 [939 546]]"
d407,d407,d,"[[506 610]
 [519 620]
 [536 632]
 [545 642]
 [561 649]
 [570 654]
 [586 662]
 [596 664]
 [604 666]
 [615 667]]"
d136,d136,d,"[[533 461]
 [542 458]
 [554 453]
 [559 452]
 [568 450]
 [578 448]
 [581 447]
 [595 443]
 [601 442]
 [607 441]
 [618 440]
 [623 440]
 [628 439]]"
e4011,e4011,e,"[[322 492]
 [325 502]
 [332 511]
 [338 525]
 [340 532]
 [347 552]
 [355 565]
 [360 574]
 [366 585]
 [370 602]]"
e184,e184,e,"[[655 539]
 [674 529]
 [711 490]
 [725 469]
 [736 457]]"
d124,d124,d,"[[1053  224]
 [1067  233]
 [1083  240]
 [1095  247]
 [1103  249]
 [1112  253]
 [1119  255]
 [1125  260]
 [1131  265]
 [1142  270]
 [1149  275]
 [1159  278]
 [1164  281]
 [1174  286]
 [1179  288]
 [1183  291]
 [1191  294]
 [1195  296]
 [1201  297]
 [1209  299]
 [1217  302]
 [1235  311]]"
e4003,e4003,e,"[[476 437]
 [482 446]
 [490 476]
 [493 493]
 [497 513]
 [498 526]
 [495 549]
 [487 588]
 [483 621]]"
e196,e196,e,"[[635 975]
 [668 939]
 [706 909]
 [737 889]
 [753 878]
 [778 869]]"
e221,e221,e,"[[716 467]
 [715 482]
 [720 514]
 [729 546]
 [753 595]
 [764 605]]"
e274,e274,e,"[[695 461]
 [693 489]
 [688 497]
 [691 508]
 [683 556]
 [675 593]
 [675 601]]"
d589,d589,d,"[[481 712]
 [508 722]
 [534 726]
 [547 735]
 [562 737]
 [571 738]
 [581 740]
 [595 745]]"
e209,e209,e,"[[516 619]
 [542 569]
 [564 530]
 [575 506]
 [581 491]]"
e2650a,e2650a,e,"[[1268  647]
 [1261  655]
 [1260  675]
 [1253  693]
 [1244  712]
 [1229  734]
 [1213  758]]"
v6010,v6010,v,"[[2707 3376]
 [2722 3436]
 [2724 3485]
 [2718 3568]
 [2696 3667]
 [2686 3721]
 [2678 3761]]"
e317,e317,e,"[[613 430]
 [654 458]
 [683 498]
 [696 504]
 [708 511]
 [742 570]]"
e4048,e4048,e,"[[474 396]
 [500 408]
 [518 412]
 [531 412]
 [540 413]
 [550 414]
 [560 416]
 [568 416]
 [578 417]
 [588 417]
 [599 417]
 [608 418]
 [616 418]
 [634 422]
 [644 426]
 [658 430]
 [674 440]]"
e4039,e4039,e,"[[538 452]
 [546 468]
 [564 499]
 [597 545]
 [624 584]]"
e4044,e4044,e,"[[691 541]
 [683 558]
 [672 571]
 [665 587]
 [661 593]
 [660 595]
 [659 601]
 [657 608]
 [655 614]
 [652 622]
 [646 631]
 [643 641]]"
v120,v120,v,"[[597 358]
 [623 392]
 [641 429]
 [647 458]
 [655 487]
 [651 498]]"
e4027,e4027,e,"[[775 282]
 [805 261]
 [816 255]
 [829 247]
 [844 236]
 [861 234]
 [872 229]
 [889 222]
 [901 214]]"
e205,e205,e,"[[653 486]
 [658 506]
 [666 534]
 [668 545]
 [671 559]
 [675 570]
 [675 576]
 [677 581]
 [678 587]
 [687 616]]"
e340,e340,e,"[[511 558]
 [544 505]
 [564 462]
 [579 446]
 [637 381]
 [656 359]]"
d126,d126,d,"[[633 445]
 [625 457]
 [621 467]
 [618 475]
 [617 484]
 [609 506]
 [605 513]
 [601 518]
 [600 525]
 [599 530]
 [597 537]
 [591 548]
 [589 557]
 [587 564]
 [584 571]
 [580 580]
 [577 585]
 [577 598]]"
v1020,v1020,v,"[[1023  233]
 [1018  241]
 [1010  248]
 [1010  253]
 [1010  257]
 [1003  260]
 [ 998  264]
 [ 997  265]]"
v1120,v1120,v,"[[530 572]
 [482 616]
 [430 701]
 [401 761]]"
e4013,e4013,e,"[[482 316]
 [474 326]
 [464 344]
 [459 356]
 [456 370]
 [456 386]
 [458 406]
 [467 421]
 [472 439]
 [478 450]
 [508 502]]"
e4036a,e4036a,e,"[[699 427]
 [710 427]
 [719 427]
 [730 427]
 [744 427]
 [761 427]
 [775 429]
 [783 430]
 [794 430]
 [804 430]
 [813 430]
 [835 429]]"
e198,e198,e,"[[589 655]
 [623 657]
 [636 657]
 [671 647]
 [715 636]
 [753 639]
 [780 629]
 [804 628]]"
d1894,d1894,d,"[[430 728]
 [461 708]
 [502 689]
 [526 677]
 [556 664]
 [578 656]]"
e207,e207,e,"[[701 398]
 [721 374]
 [750 321]
 [770 292]
 [798 256]
 [821 222]]"
e307,e307,e,"[[635 799]
 [642 789]
 [684 753]
 [715 731]
 [725 731]]"
v1079,v1079,v,"[[676 579]
 [668 582]
 [663 584]
 [653 586]
 [638 589]
 [615 594]
 [595 597]
 [576 603]
 [563 610]
 [553 619]]"
d102,d102,d,"[[594 403]
 [590 425]
 [583 443]
 [570 470]
 [559 498]]"
v1004,v1004,v,"[[593 404]
 [602 422]
 [604 430]
 [607 437]
 [613 451]
 [617 459]
 [623 468]
 [626 474]
 [629 482]]"
e4046,e4046,e,"[[728 367]
 [746 378]
 [760 384]
 [773 388]
 [786 388]
 [794 390]
 [803 392]
 [819 395]]"
e4037,e4037,e,"[[886 335]
 [886 343]
 [886 347]
 [886 354]
 [885 365]
 [885 376]
 [885 389]
 [885 398]
 [886 410]]"
e268,e268,e,"[[555 713]
 [562 711]
 [586 691]
 [602 681]
 [616 673]
 [628 671]
 [642 669]
 [671 670]]"
e4019a,e4019a,e,"[[518 693]
 [533 743]
 [546 761]
 [551 773]]"
e215,e215,e,"[[623 374]
 [629 383]
 [638 418]
 [640 441]
 [644 455]
 [657 504]]"
d595,d595,d,"[[937 331]
 [934 350]
 [934 372]
 [935 386]
 [938 398]
 [943 411]
 [950 423]
 [962 442]]"
e296a,e296a,e,"[[689 515]
 [683 542]
 [682 557]
 [681 560]
 [680 566]
 [680 575]
 [681 578]
 [681 584]
 [681 596]
 [681 611]
 [681 618]
 [683 627]
 [684 634]
 [685 638]
 [685 646]
 [686 650]
 [689 656]
 [690 665]
 [690 674]]"
e80,e80,e,"[[603 532]
 [645 467]
 [669 435]]"
d2112,d2112,d,"[[544 515]
 [562 520]
 [593 538]
 [620 559]
 [644 583]
 [659 602]
 [670 618]
 [690 630]
 [709 646]
 [732 662]
 [788 685]]"
e2040a,e2040a,e,"[[366 634]
 [359 652]
 [351 672]]"
d433,d433,d,"[[714 428]
 [706 429]
 [670 464]
 [645 490]
 [635 505]
 [635 518]
 [636 526]]"
d450,d450,d,"[[511 514]
 [506 530]
 [482 562]
 [474 585]
 [466 604]
 [463 618]
 [462 636]
 [465 650]
 [468 658]]"
d1007,d1007,d,"[[2372  110]
 [2378  154]
 [2374  190]
 [2370  208]
 [2366  230]
 [2358  246]
 [2352  260]
 [2348  280]]"
e1,e1,e,"[[604 335]
 [615 345]
 [623 353]
 [628 359]
 [636 368]
 [643 371]
 [651 378]
 [658 380]
 [667 387]
 [671 387]
 [676 392]
 [687 396]
 [693 398]
 [702 399]
 [712 400]]"
e2160,e2160,e,"[[648 426]
 [656 443]
 [660 453]
 [664 461]
 [669 469]
 [671 476]
 [671 480]]"
e289,e289,e,"[[416 626]
 [453 649]
 [476 659]
 [499 659]
 [508 661]
 [523 662]
 [526 662]
 [530 662]
 [548 661]
 [572 657]]"
e40,e40,e,"[[618 524]
 [603 545]
 [593 565]
 [586 578]
 [581 595]
 [576 607]
 [571 618]
 [567 628]
 [564 634]]"
v4120,v4120,v,"[[787 473]
 [854 444]
 [911 416]
 [931 412]
 [963 413]
 [988 424]
 [999 429]]"
e31,e31,e,"[[900 545]
 [900 565]
 [901 570]
 [905 573]
 [906 581]
 [904 590]
 [904 598]
 [905 604]
 [905 611]
 [905 615]
 [908 620]
 [908 628]
 [910 636]
 [910 642]]"
d2109,d2109,d,"[[733 325]
 [759 356]
 [785 377]
 [808 391]
 [823 407]
 [834 422]
 [844 437]]"
