field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,344,406,228,66.28,56.9,54.69
2,375,351,232,61.87,65.53,50.53
3,368,415,203,55.16,48.92,45.82
4,346,386,242,69.94,62.95,59.12
5,339,410,236,69.62,58.05,55.32
6,358,411,235,65.64,58.15,57.1
7,356,382,159,44.66,40.31,32.53
8,341,377,218,63.93,57.29,56.18
9,409,443,229,55.99,51.02,46.2
10,360,399,208,57.78,51.38,52.0
11,334,368,210,62.87,56.79,51.55
12,370,395,252,68.11,63.54,54.74
13,341,386,220,64.52,56.74,53.52
14,374,429,271,72.46,63.64,60.73
15,360,393,214,59.44,53.69,49.8
16,368,431,231,62.77,52.2,52.63
17,382,439,255,66.75,58.09,58.41
18,314,362,205,65.29,54.97,53.71
19,398,428,270,67.84,61.92,55.99
