field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,467,461,362,77.52,78.09,70.89
2,420,472,341,81.19,72.88,73.5
3,452,490,377,83.41,77.96,71.86
4,462,496,396,85.71,80.44,78.45
5,425,446,363,85.41,82.29,78.43
6,425,436,360,84.71,83.03,79.9
7,416,454,331,79.57,75.11,69.66
8,420,467,355,84.52,78.16,77.67
9,463,498,381,82.29,76.1,73.68
10,437,434,342,78.26,78.11,70.35
11,416,430,329,79.09,77.21,67.97
12,403,440,301,74.69,70.68,64.91
13,430,462,336,78.14,74.24,67.06
14,392,402,307,78.32,77.11,58.99
15,404,420,320,79.21,77.86,69.18
16,440,470,361,82.05,76.17,72.1
17,396,438,336,84.85,78.31,71.96
18,399,432,320,80.2,74.31,69.68
19,431,463,348,80.74,76.03,66.66
20,377,404,267,70.82,67.08,55.49
21,405,423,352,86.91,83.22,80.3
22,400,394,290,72.5,74.62,68.33
23,443,449,355,80.14,79.96,71.9
24,429,468,360,83.92,77.78,73.81
25,398,397,288,72.36,74.31,65.73
26,422,443,362,85.78,82.84,77.54
27,366,413,290,79.23,71.19,69.54
