field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,383,411,262,68.41,65.45,59.51
2,455,477,364,80.0,77.36,72.64
3,380,432,295,77.63,68.75,63.69
4,422,429,313,74.17,73.66,65.11
5,434,466,361,83.18,78.54,74.56
6,403,449,318,78.91,73.5,68.51
7,418,450,342,81.82,76.22,72.8
8,430,444,345,80.23,77.48,72.69
9,409,444,312,76.28,70.72,65.99
10,436,412,326,74.77,78.88,68.41
11,395,403,306,77.47,76.67,68.78
12,422,452,334,79.15,75.88,69.26
13,420,459,343,81.67,75.16,71.15
14,450,453,355,78.89,78.15,68.2
15,434,457,345,79.49,76.81,69.03
16,394,427,323,81.98,76.81,72.25
17,390,413,285,73.08,68.52,61.95
18,405,421,330,81.48,80.05,71.15
19,383,394,299,78.07,77.16,67.89
20,410,432,317,77.32,74.77,68.18
21,396,404,326,82.32,81.44,69.55
22,430,444,323,75.12,73.2,63.38
23,384,412,281,73.18,68.69,63.89
24,393,426,298,75.83,70.19,69.69
25,412,423,308,74.76,72.81,68.34
