field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,402,391,224,55.72,56.52,49.58
2,403,419,269,66.75,63.25,60.99
3,361,386,186,51.52,48.7,46.32
4,351,428,180,51.28,43.22,44.23
5,377,420,232,61.54,53.81,50.23
6,364,344,208,57.14,59.01,48.67
7,374,399,176,47.06,44.11,41.47
8,390,383,231,59.23,60.05,53.0
10,385,424,235,61.04,55.66,52.65
11,367,374,247,67.3,64.97,64.0
12,376,413,241,64.1,57.63,55.18
13,344,362,187,54.36,51.1,46.44
14,404,425,245,60.64,56.24,53.27
15,391,393,212,54.22,53.44,49.18
16,366,392,200,54.64,51.02,49.17
17,378,397,211,55.82,52.64,48.31
18,347,414,216,62.25,51.93,53.43
19,340,425,219,64.41,50.59,51.43
20,377,431,241,63.93,56.38,57.0
