field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,443,465,358,80.81,78.28,72.91
2,435,443,345,79.31,77.65,71.88
3,429,446,351,81.82,79.37,75.34
4,375,402,279,74.4,69.4,61.49
5,383,409,293,76.5,72.62,71.79
6,386,393,281,72.8,72.01,67.05
7,359,370,289,80.5,78.92,73.35
8,363,387,297,81.82,77.52,69.2
9,416,451,339,81.49,75.39,73.66
10,396,424,319,80.56,75.47,73.2
11,392,430,331,84.44,76.74,77.77
12,410,421,316,77.07,76.01,71.47
13,409,443,342,83.62,78.1,76.67
14,394,403,314,79.7,79.16,69.86
15,411,421,335,81.51,80.76,74.39
16,374,410,312,83.42,76.34,76.59
17,354,394,298,84.18,76.4,77.39
18,414,418,324,78.26,77.75,70.3
19,412,420,310,75.24,74.76,67.58
20,385,399,325,84.42,81.2,76.94
21,380,393,309,81.32,79.13,75.66
22,395,443,313,79.24,70.88,70.58
23,416,444,326,78.37,74.1,69.32
24,397,404,316,79.6,79.95,74.72
25,436,427,325,74.54,76.81,66.02
