field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,383,423,294,76.76,70.92,69.63
2,371,394,286,77.09,73.6,68.56
3,400,415,311,77.75,76.39,62.49
4,372,396,294,79.03,74.49,66.83
5,375,394,281,74.93,72.59,60.73
6,362,388,257,70.99,65.98,55.38
7,361,396,276,76.45,70.2,60.51
8,337,375,257,76.26,69.07,58.85
9,395,402,272,68.86,69.15,51.19
10,385,388,255,66.23,65.98,55.34
11,342,399,228,66.67,58.4,51.65
12,330,347,250,75.76,72.33,60.84
13,354,386,305,86.16,80.31,78.63
14,329,353,252,76.6,72.24,70.15
15,335,372,264,78.81,72.31,70.3
16,332,382,271,81.63,71.73,74.36
17,333,355,258,77.48,72.68,72.46
18,314,372,252,80.25,69.09,71.43
19,340,366,261,76.76,71.86,59.09
20,413,434,328,79.42,76.04,73.06
