field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,415,415,335,80.72,82.41,74.68
2,384,419,313,81.51,75.18,73.21
3,390,419,320,82.05,77.8,72.08
4,450,469,350,77.78,76.97,70.64
5,408,424,340,83.33,80.9,71.8
6,390,439,319,81.79,72.89,74.87
7,428,434,328,76.64,76.04,69.95
8,467,477,361,77.3,77.57,64.68
9,410,421,331,80.73,79.81,61.88
10,372,395,300,80.65,76.2,70.32
11,372,380,268,72.04,72.37,61.82
12,406,449,317,78.08,71.05,69.34
13,407,408,305,74.94,74.75,65.62
14,451,472,343,76.05,72.46,66.85
15,402,403,279,69.4,69.73,62.1
16,428,441,339,79.21,76.64,69.57
17,379,404,325,85.75,80.2,73.65
18,438,448,339,77.4,77.01,67.5
19,386,390,292,75.65,75.9,70.47
20,431,439,330,76.57,76.54,66.28
21,365,389,275,75.34,70.69,63.77
22,381,407,327,85.83,80.84,75.48
23,434,410,335,77.19,82.2,68.74
24,393,422,328,83.46,77.73,75.41
25,444,442,349,78.6,79.86,68.59
