field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,390,397,298,76.41,76.32,69.52
2,375,375,316,84.27,84.0,79.11
3,393,407,324,82.44,80.34,73.9
4,370,391,314,84.86,81.59,77.26
5,324,379,280,86.42,74.67,77.29
6,365,391,304,83.29,79.28,74.29
7,360,416,309,85.83,74.76,65.07
8,355,377,285,80.28,76.39,72.99
9,384,401,304,79.17,76.81,62.04
10,364,383,307,84.34,80.42,77.47
11,401,426,344,85.79,81.92,73.73
12,361,400,268,74.24,67.25,64.35
13,332,384,282,84.94,74.22,77.78
14,314,365,262,83.44,73.42,65.05
15,349,358,293,83.95,81.84,69.31
16,325,368,280,86.15,77.45,67.18
17,377,410,305,80.9,75.37,73.25
18,329,369,262,79.64,71.27,68.27
19,371,407,325,87.6,81.33,78.98
20,371,396,295,79.51,76.26,73.7
21,340,393,294,86.47,76.34,80.33
22,369,403,313,84.82,79.65,77.96
23,345,375,273,79.13,73.6,63.14
24,331,370,288,87.01,77.3,81.32
25,343,363,275,80.17,75.21,64.37
