field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,366,400,298,81.42,74.75,73.83
2,315,363,261,82.86,73.28,65.46
3,380,410,311,81.84,77.56,66.01
4,427,442,346,81.03,79.64,75.74
5,400,425,308,77.0,72.94,67.84
6,369,395,267,72.36,67.09,61.4
7,374,406,278,74.33,69.46,65.23
8,385,408,306,79.48,75.98,69.88
9,376,393,282,75.0,71.5,64.55
10,370,377,273,73.78,72.68,65.08
11,431,442,322,74.71,73.3,64.61
12,444,459,359,80.86,78.43,73.29
13,396,393,302,76.26,76.59,70.75
14,403,400,288,71.46,72.75,64.13
15,401,384,293,73.07,77.08,67.0
16,405,420,315,77.78,75.95,68.08
17,413,431,319,77.24,74.94,67.93
18,414,418,329,79.47,78.95,72.48
19,381,396,289,75.85,75.0,64.15
20,439,407,321,73.12,79.12,64.61
21,402,426,315,78.36,75.12,69.51
22,367,386,299,81.47,76.94,71.87
23,390,404,314,80.51,78.22,71.63
24,411,437,316,76.89,72.77,67.04
25,431,401,287,66.59,71.57,55.66
26,400,387,303,75.75,78.55,68.65
