field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,390,444,271,69.49,61.71,60.19
2,383,400,284,74.15,71.75,66.24
3,358,389,272,75.98,70.18,69.99
4,374,387,286,76.47,73.39,68.34
5,355,372,247,69.58,66.67,58.72
6,373,398,277,74.26,70.6,65.66
7,409,415,321,78.48,76.63,71.94
8,425,453,361,84.94,80.79,78.36
9,412,419,329,79.85,80.19,73.97
10,367,398,308,83.92,78.14,75.46
11,384,426,327,85.16,78.4,76.42
12,424,454,366,86.32,81.72,79.15
13,404,458,343,84.9,76.64,75.65
14,429,472,374,87.18,79.03,78.51
15,433,443,351,81.06,81.04,74.37
16,372,399,301,80.91,75.69,74.69
17,397,435,345,86.9,79.08,78.97
18,373,373,298,79.89,81.23,70.29
19,351,373,282,80.34,76.41,68.03
20,375,431,312,83.2,74.48,75.46
21,370,403,274,74.05,67.74,64.76
22,402,435,322,80.1,75.63,70.99
23,448,488,360,80.36,75.2,73.1
