field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,404,435,307,75.99,71.26,67.51
2,408,435,308,75.49,70.8,69.4
3,418,435,326,77.99,74.94,68.25
4,408,451,319,78.19,71.4,66.67
5,438,443,355,81.05,81.04,73.91
6,398,415,304,76.38,74.22,71.45
7,396,425,303,76.52,71.53,68.55
8,424,429,330,77.83,76.22,71.98
9,416,438,318,76.44,72.37,69.55
10,434,457,344,79.26,76.37,71.13
11,380,407,293,77.11,71.5,67.91
12,431,473,330,76.57,70.19,68.92
13,429,440,325,75.76,74.32,67.65
14,413,489,313,75.79,65.24,59.98
15,452,460,340,75.22,74.78,69.18
16,432,446,327,75.69,75.56,70.24
17,401,416,306,76.31,75.0,68.7
18,369,482,249,67.48,52.7,46.11
19,396,450,320,80.81,72.89,70.41
20,392,417,275,70.15,67.63,62.23
21,376,407,268,71.28,67.57,62.13
