field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,418,429,317,75.84,74.36,56.16
2,376,383,276,73.4,72.58,55.94
3,383,413,293,76.5,72.15,66.87
4,346,388,271,78.32,71.65,55.18
5,404,431,309,76.49,74.01,61.16
6,370,402,300,81.08,74.13,72.47
7,367,383,295,80.38,77.02,64.64
8,368,387,297,80.71,77.52,64.77
9,403,413,323,80.15,78.21,61.72
10,412,433,346,83.98,79.91,72.1
11,388,414,307,79.12,75.6,69.49
12,336,366,277,82.44,75.96,74.67
13,382,410,268,70.16,67.56,43.09
14,385,426,277,71.95,66.2,61.53
15,362,409,249,68.78,60.64,60.4
16,362,299,223,61.6,73.24,48.76
17,409,430,324,79.22,76.05,71.49
18,369,402,255,69.11,63.68,62.15
19,369,396,302,81.84,75.25,73.71
20,384,401,289,75.26,73.07,66.7
21,363,410,283,77.96,71.22,60.31
22,348,375,286,82.18,77.07,63.61
23,391,417,274,70.08,65.95,63.11
24,418,431,313,74.88,72.39,64.67
