field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,386,419,289,74.87,69.21,67.01
2,403,430,323,80.15,75.81,69.94
3,370,394,288,77.84,73.86,70.54
4,423,455,335,79.2,74.29,69.0
5,457,448,343,75.05,77.01,68.76
6,413,450,355,85.96,80.22,76.16
7,422,453,334,79.15,75.5,73.23
8,403,459,337,83.62,74.73,74.98
9,359,395,266,74.09,67.59,63.64
10,365,387,293,80.27,76.49,69.41
11,421,434,336,79.81,78.11,71.69
12,386,421,308,79.79,74.11,71.44
13,418,401,309,73.92,77.31,67.5
14,395,404,319,80.76,80.45,72.57
15,383,430,315,82.25,73.95,68.33
16,382,409,292,76.44,73.35,61.34
17,369,410,292,79.13,71.22,60.12
18,411,455,342,83.21,76.48,75.46
19,387,412,318,82.17,77.91,73.91
20,441,477,378,85.71,80.29,76.47
21,429,463,365,85.08,79.7,74.39
22,446,472,365,81.84,78.39,73.86
23,435,441,334,76.78,75.28,67.08
24,404,415,321,79.46,77.59,69.68
25,408,449,349,85.54,80.18,76.45
26,401,412,320,79.8,76.94,71.68
