field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,405,448,339,83.7,75.67,72.45
2,408,415,324,79.41,77.83,71.23
3,416,452,346,83.17,77.88,76.62
4,432,447,359,83.1,80.98,73.46
5,420,383,301,71.67,78.59,66.25
6,359,367,283,78.83,79.56,71.04
7,350,395,274,78.29,70.13,72.14
8,427,461,343,80.33,75.05,73.75
9,413,435,346,83.78,80.23,75.63
10,401,441,337,84.04,77.32,74.08
11,386,404,296,76.68,74.5,69.0
12,415,442,335,80.72,77.15,72.88
13,414,421,335,80.92,80.29,72.48
14,399,418,314,78.7,75.84,71.88
15,407,436,336,82.56,78.67,75.45
16,416,431,306,73.56,71.69,65.86
17,451,475,371,82.26,79.16,76.28
18,435,447,354,81.38,79.64,72.36
19,419,455,360,85.92,79.12,79.67
20,378,401,305,80.69,76.31,72.65
21,423,463,370,87.47,80.35,81.47
22,385,415,320,83.12,77.59,76.75
23,441,449,361,81.86,81.07,74.02
24,389,428,339,87.15,79.91,81.14
25,397,411,328,82.62,79.08,76.78
26,429,471,367,85.55,79.41,76.97
