field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,379,421,289,76.25,69.83,66.07
2,446,436,329,73.77,76.15,64.63
3,451,460,345,76.5,75.22,68.49
4,382,393,285,74.61,72.52,67.0
5,383,398,290,75.72,73.87,68.33
6,383,404,299,78.07,73.76,68.29
7,408,378,300,73.53,79.63,63.28
8,379,404,275,72.56,69.06,62.37
9,429,423,326,75.99,77.3,66.67
10,413,429,307,74.33,72.26,63.35
11,453,437,341,75.28,78.95,68.08
12,421,439,309,73.4,71.75,63.22
13,439,451,343,78.13,76.5,69.15
14,403,417,310,76.92,74.1,67.31
15,391,403,322,82.35,80.4,75.71
16,396,403,291,73.48,72.7,66.55
17,368,393,278,75.54,70.23,66.24
18,432,455,322,74.54,70.77,64.06
19,425,447,340,80.0,76.29,71.04
20,423,451,334,78.96,74.06,69.36
21,388,403,271,69.85,68.49,60.73
22,425,429,326,76.71,75.76,69.14
23,427,436,332,77.75,77.52,67.6
24,437,464,347,79.41,75.65,70.56
25,404,422,291,72.03,69.91,62.57
26,418,419,305,72.97,72.79,63.35
