field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,365,406,300,82.19,74.88,72.74
2,447,446,341,76.29,77.13,68.97
3,388,401,314,80.93,79.8,74.56
4,414,434,334,80.68,77.65,71.68
5,404,410,309,76.49,75.61,69.9
6,362,366,290,80.11,78.96,75.42
7,419,437,338,80.67,78.26,70.42
8,380,383,294,77.37,77.28,70.66
9,421,449,350,83.14,78.84,76.09
10,397,409,315,79.35,78.48,71.38
11,393,428,334,84.99,78.27,75.82
12,416,428,342,82.21,80.61,75.02
13,397,430,328,82.62,76.51,73.14
14,392,410,316,80.61,76.83,72.86
15,420,434,343,81.67,79.26,74.01
16,414,450,346,83.57,77.33,75.85
17,408,420,328,80.39,79.29,74.32
18,410,414,313,76.34,77.05,71.01
19,421,438,337,80.05,76.71,70.92
20,398,418,318,79.9,76.08,73.17
21,418,420,336,80.38,80.48,72.41
22,425,432,345,81.18,80.79,73.35
23,380,429,307,80.79,73.19,71.6
24,402,402,305,75.87,77.36,68.64
25,387,427,311,80.36,73.3,73.68
26,365,395,276,75.62,70.63,65.35
