field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,389,435,308,79.18,73.1,69.0
2,418,410,316,75.6,77.56,68.78
3,416,435,325,78.12,75.86,70.85
4,384,420,309,80.47,73.81,67.76
5,427,436,338,79.16,78.21,70.48
6,418,422,329,78.71,78.2,70.89
7,419,428,314,74.94,73.83,68.29
8,383,402,291,75.98,72.89,71.43
9,393,419,317,80.66,76.61,70.8
10,448,469,367,81.92,78.25,72.01
11,421,417,314,74.58,74.82,63.54
12,419,444,333,79.47,75.9,70.8
13,427,438,351,82.2,81.05,74.13
14,391,419,291,74.42,70.88,66.16
15,453,475,357,78.81,76.42,71.05
16,461,482,354,76.79,74.69,68.05
17,427,420,330,77.28,78.81,70.2
18,419,439,308,73.51,70.62,63.92
19,405,438,306,75.56,71.69,67.02
20,403,438,296,73.45,68.72,67.51
21,406,403,303,74.63,75.93,63.5
22,444,475,337,75.9,71.58,64.66
23,406,388,298,73.4,76.29,66.15
24,379,392,265,69.92,68.62,64.44
25,410,405,294,71.71,72.84,65.49
