field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,379,395,292,77.04,75.7,70.63
2,396,419,298,75.25,71.84,65.2
3,366,392,293,80.05,74.74,61.5
4,385,418,326,84.68,77.99,76.51
5,421,409,337,80.05,82.4,71.4
6,382,387,316,82.72,82.69,77.69
7,470,473,398,84.68,84.99,78.28
8,405,439,359,88.64,82.46,81.51
9,374,412,59,15.78,14.56,4.14
10,346,505,53,15.32,10.89,3.27
11,408,442,337,82.6,75.79,71.96
12,401,426,336,83.79,78.87,73.14
13,430,461,378,87.91,83.08,80.46
14,427,436,364,85.25,83.94,78.45
15,466,481,396,84.98,83.58,77.8
16,411,419,334,81.27,79.95,70.69
17,452,462,377,83.41,82.25,76.21
18,374,408,287,76.74,70.83,66.64
19,404,424,309,76.49,71.93,69.6
20,391,435,340,86.96,78.62,76.9
21,390,420,311,79.74,75.95,71.21
22,385,420,320,83.12,77.14,75.59
23,406,455,345,84.98,76.92,66.54
24,428,457,366,85.51,82.28,75.55
