field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,387,433,330,85.27,77.6,73.04
2,402,430,338,84.08,79.3,73.9
3,358,367,286,79.89,78.47,72.27
4,445,461,379,85.17,82.65,77.43
5,417,454,350,83.93,78.85,78.23
6,360,384,286,79.44,75.26,69.19
7,394,400,302,76.65,75.75,72.17
8,417,420,334,80.1,79.29,72.94
9,372,361,293,78.76,81.44,69.28
10,406,449,339,83.5,75.72,72.41
11,431,481,368,85.38,77.34,72.38
12,376,407,312,82.98,78.13,75.3
13,415,437,340,81.93,77.57,72.37
14,380,436,303,79.74,70.87,69.33
15,365,412,286,78.36,69.9,64.97
16,387,415,310,80.1,74.7,72.41
17,429,439,324,75.52,74.94,67.97
18,382,412,320,83.77,78.16,75.75
19,375,398,312,83.2,78.14,75.6
20,418,460,364,87.08,80.87,77.95
21,371,391,303,81.67,78.01,75.49
22,434,453,356,82.03,79.25,76.45
23,452,441,370,81.86,84.58,71.63
24,386,424,325,84.2,77.83,74.43
25,375,387,287,76.53,74.42,69.14
