field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,432,435,320,74.07,73.79,67.65
2,393,415,307,78.12,74.94,69.33
3,410,451,324,79.02,72.28,67.99
4,379,402,301,79.42,75.37,73.3
5,402,416,322,80.1,77.88,72.05
6,402,408,322,80.1,78.43,64.43
7,425,450,320,75.29,71.56,66.2
8,409,453,330,80.68,73.73,67.53
9,425,451,329,77.41,74.06,57.13
10,354,392,278,78.53,72.19,69.73
11,414,457,322,77.78,72.21,66.15
12,385,394,269,69.87,68.02,54.38
13,420,448,360,85.71,80.8,77.95
14,409,437,341,83.37,79.18,77.3
15,364,410,283,77.75,69.76,66.52
16,372,414,314,84.41,76.81,75.7
17,392,400,304,77.55,76.0,72.62
18,376,373,287,76.33,78.28,68.34
19,408,440,339,83.09,77.05,72.79
20,435,467,363,83.45,78.37,74.14
21,394,420,312,79.19,75.0,69.63
22,391,410,323,82.61,79.51,73.08
23,379,383,289,76.25,76.5,71.18
24,381,401,315,82.68,79.3,74.98
25,405,416,319,78.77,78.12,69.11
26,403,436,339,84.12,79.59,77.14
