field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,377,409,321,85.15,78.24,77.68
2,371,425,325,87.6,76.71,70.88
3,382,388,317,82.98,81.96,75.74
4,404,440,336,83.17,77.5,76.66
5,358,387,307,85.75,79.33,67.2
6,383,394,290,75.72,74.87,60.92
7,402,403,344,85.57,85.61,81.34
8,337,369,277,82.2,76.42,73.7
9,357,404,298,83.47,76.49,73.08
10,369,397,331,89.7,84.63,83.91
11,374,412,321,85.83,78.4,76.8
12,409,452,357,87.29,81.19,80.02
13,389,405,332,85.35,82.47,80.41
14,410,418,354,86.34,84.69,80.04
15,416,452,353,84.86,78.54,75.51
16,373,416,315,84.45,75.96,75.59
17,375,401,325,86.67,81.55,79.43
18,384,436,343,89.32,78.9,83.21
19,360,387,300,83.33,77.78,75.6
20,392,428,338,86.22,79.21,79.43
21,360,395,313,86.94,79.49,77.43
22,379,419,327,86.28,78.76,78.23
23,392,405,336,85.71,83.95,80.35
24,320,393,275,85.94,70.99,77.19
