field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,371,387,221,59.57,56.33,53.89
2,373,432,196,52.55,44.91,41.52
3,368,403,219,59.51,53.1,47.06
4,352,375,209,59.38,54.13,50.31
5,363,446,193,53.17,43.5,42.52
6,327,386,218,66.67,56.74,57.14
7,338,371,232,68.64,62.26,61.36
8,343,357,233,67.93,64.15,60.66
9,356,347,224,62.92,63.4,56.94
10,341,370,200,58.65,53.51,52.78
11,368,397,234,63.59,57.93,54.77
12,347,428,234,67.44,53.97,55.15
13,313,378,202,64.54,51.59,55.66
14,368,375,270,73.37,72.0,65.8
15,391,428,284,72.63,65.65,66.76
16,352,406,154,43.75,37.93,40.04
17,318,396,222,69.81,56.31,59.27
18,378,418,235,62.17,55.74,54.21
19,359,371,215,59.89,58.49,46.45
20,339,389,193,56.93,50.13,43.86
