field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,448,444,344,76.79,78.83,72.29
2,402,415,335,83.33,82.17,73.85
3,363,410,266,73.28,66.83,52.23
4,418,439,350,83.73,79.5,75.47
5,351,351,293,83.48,82.91,75.41
6,424,451,359,84.67,80.71,79.05
7,398,387,313,78.64,81.14,72.51
8,419,438,351,83.77,81.96,78.13
9,419,435,342,81.62,79.77,73.9
10,393,430,333,84.73,77.91,77.77
11,352,379,262,74.43,70.18,64.32
12,395,407,313,79.24,77.89,72.86
13,401,389,324,80.8,83.55,76.48
14,408,419,327,80.15,78.76,72.52
15,396,405,323,81.57,80.74,75.53
16,390,418,340,87.18,82.54,81.17
