field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,350,368,272,77.71,75.0,68.27
2,419,441,310,73.99,70.07,62.59
3,440,439,320,72.73,72.44,61.64
4,418,401,309,73.92,77.31,65.96
5,415,432,302,72.77,70.6,64.71
6,450,441,344,76.44,78.68,68.47
7,424,437,296,69.81,68.88,62.33
8,403,411,279,69.23,68.37,62.02
9,441,456,349,79.14,76.75,69.83
10,402,422,323,80.35,77.73,68.26
11,426,426,301,70.66,71.83,59.68
12,408,445,320,78.43,72.36,66.78
13,401,386,289,72.07,75.39,65.17
14,406,385,291,71.67,76.88,67.03
15,400,400,288,72.0,73.25,62.02
16,418,413,308,73.68,74.09,63.79
17,360,389,279,77.5,72.49,63.23
18,361,383,252,69.81,66.84,58.02
19,390,404,313,80.26,78.71,72.04
20,420,417,316,75.24,76.26,68.41
21,421,432,316,75.06,74.07,66.87
22,437,468,338,77.35,72.44,68.05
23,370,393,302,81.62,77.35,68.62
24,390,397,297,76.15,75.06,66.93
25,385,395,291,75.58,73.92,68.13
26,406,422,339,83.5,81.52,73.76
