field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,381,400,306,80.31,76.5,76.43
2,376,399,308,81.91,77.19,70.73
3,381,417,325,85.3,77.94,78.67
4,389,401,317,81.49,79.3,75.92
5,424,458,349,82.31,78.17,74.27
6,389,425,321,82.52,76.47,74.19
7,442,445,369,83.48,83.6,78.05
8,423,438,369,87.23,85.39,76.3
9,419,434,338,80.67,78.57,73.38
10,362,383,277,76.52,72.58,59.63
11,414,437,303,73.19,68.65,58.2
12,400,428,332,83.0,78.04,74.7
13,352,366,295,83.81,80.05,76.79
14,423,442,335,79.2,76.92,69.46
15,410,433,341,83.17,79.68,76.65
16,421,458,341,81.0,74.24,74.81
17,387,450,340,87.86,76.22,78.93
18,408,425,326,79.9,77.41,69.31
19,410,450,334,81.46,74.89,71.07
20,408,403,300,73.53,75.43,59.84
21,424,462,355,83.73,77.71,75.04
22,459,451,366,79.74,81.37,73.76
23,409,442,355,86.8,81.22,77.19
24,408,406,335,82.11,82.51,71.86
25,399,402,330,82.71,83.08,72.87
