field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,395,389,316,80.0,81.23,69.82
2,367,387,294,80.11,76.49,73.16
3,381,410,302,79.27,74.63,69.09
4,392,442,300,76.53,68.33,64.99
5,379,443,288,75.99,65.91,63.06
6,415,452,357,86.02,79.65,78.96
7,408,432,345,84.56,80.56,70.96
8,393,423,327,83.21,77.54,75.47
9,384,415,316,82.29,76.87,74.84
10,426,435,332,77.93,76.55,72.75
11,323,431,210,65.02,50.81,43.65
12,371,416,295,79.51,72.12,72.79
13,416,443,321,77.16,73.59,65.72
14,422,444,325,77.01,73.2,66.2
15,406,407,273,67.24,66.58,46.39
16,320,363,257,80.31,70.52,68.32
17,383,423,300,78.33,71.39,70.62
18,401,410,333,83.04,80.0,70.13
19,378,405,306,80.95,77.78,74.77
20,387,407,314,81.14,77.64,74.78
21,365,371,273,74.79,74.39,65.72
22,415,417,314,75.66,75.54,67.05
23,422,437,305,72.27,71.17,62.98
24,406,422,293,72.17,70.62,61.89
25,419,442,331,79.0,76.7,69.47
