field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,432,425,329,76.16,77.65,66.47
2,417,437,330,79.14,75.74,70.55
3,404,421,339,83.91,80.76,76.8
4,403,432,304,75.43,70.6,67.96
5,423,434,331,78.25,77.19,72.0
6,414,421,336,81.16,80.05,74.01
7,376,407,293,77.93,71.99,71.24
8,427,467,365,85.48,78.8,78.56
9,406,418,303,74.63,73.21,69.74
10,357,389,290,81.23,74.29,72.46
11,400,404,304,76.0,76.24,67.71
12,361,384,275,76.18,72.92,68.0
13,371,394,288,77.63,72.84,65.56
14,359,399,293,81.62,73.68,70.39
15,354,365,292,82.49,80.55,76.98
16,368,387,279,75.82,73.9,67.65
17,347,372,300,86.46,80.91,79.58
18,380,394,313,82.37,80.46,75.26
19,402,426,293,72.89,69.48,67.41
20,375,376,289,77.07,77.93,70.69
21,333,381,292,87.69,77.17,78.53
22,387,431,312,80.62,73.32,72.94
23,354,403,288,81.36,72.7,71.54
24,355,385,288,81.13,75.06,72.1
25,361,418,294,81.44,70.81,71.27
26,359,388,283,78.83,73.71,70.67
