field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,399,417,267,66.92,64.51,56.72
2,401,433,279,69.58,65.13,58.09
3,367,456,270,73.57,59.65,61.18
4,409,444,312,76.28,70.72,65.81
5,428,457,318,74.3,70.24,65.68
6,371,409,224,60.38,54.28,46.37
7,385,396,272,70.65,68.43,63.83
8,373,430,261,69.97,59.07,59.11
9,380,415,253,66.58,61.45,58.88
10,396,431,251,63.38,58.24,55.67
11,389,442,268,68.89,60.63,57.42
12,399,424,268,67.17,62.97,57.2
13,438,446,296,67.58,66.14,59.51
14,361,414,233,64.54,56.76,54.14
15,404,441,285,70.54,65.31,61.88
16,333,357,231,69.37,65.55,59.47
17,342,394,58,16.96,14.47,4.66
18,383,407,286,74.67,72.24,67.23
19,387,437,259,66.93,59.95,51.72
