field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,435,442,372,85.52,84.84,79.84
2,367,402,312,85.01,78.86,77.18
3,389,409,321,82.52,78.73,74.34
4,376,413,320,85.11,78.45,78.32
5,423,447,355,83.92,79.64,76.08
6,349,402,298,85.39,76.37,74.65
7,433,446,347,80.14,77.8,72.41
8,426,455,354,83.1,77.8,72.3
9,373,419,321,86.06,77.8,76.03
10,374,393,319,85.29,82.19,78.01
11,391,437,338,86.45,79.63,76.41
12,395,470,334,84.56,71.7,72.82
13,411,455,322,78.35,70.99,69.38
14,403,413,329,81.64,80.15,74.66
15,350,364,262,74.86,73.35,64.76
16,358,372,297,82.96,80.38,73.28
17,436,444,360,82.57,83.11,76.18
