field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,348,366,177,50.86,46.45,35.81
3,356,421,211,59.27,50.12,44.7
4,325,384,168,51.69,44.53,36.87
5,366,372,171,46.72,45.97,34.6
6,274,374,161,58.76,41.98,41.65
7,311,397,186,59.81,47.36,42.99
8,259,343,131,50.58,39.07,41.43
9,329,370,184,55.93,48.92,40.95
10,333,378,183,54.95,50.0,36.99
11,326,394,212,65.03,52.79,46.77
12,293,323,195,66.55,59.44,54.06
13,359,348,155,43.18,44.25,28.05
14,316,367,181,57.28,49.59,41.24
15,346,397,247,71.39,62.22,52.09
