field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,401,427,317,79.05,76.11,71.55
2,415,432,340,81.93,80.09,75.5
3,423,459,334,78.96,72.98,70.16
4,379,433,309,81.53,73.67,70.92
5,444,480,359,80.86,74.58,71.55
6,469,478,392,83.58,81.59,77.5
7,436,463,369,84.63,80.78,74.45
8,412,449,343,83.25,76.84,73.04
9,379,395,302,79.68,77.72,72.21
10,401,435,331,82.54,76.32,71.85
11,444,460,380,85.59,83.48,75.32
12,412,429,335,81.31,78.09,73.68
13,395,434,318,80.51,75.35,65.34
14,407,441,324,79.61,74.15,70.41
15,407,423,343,84.28,81.56,75.73
16,410,438,316,77.07,72.15,68.21
17,417,430,359,86.09,83.26,80.46
18,427,430,333,77.99,76.74,68.99
19,389,432,305,78.41,71.53,70.82
20,415,462,354,85.3,78.79,77.48
21,429,431,349,81.35,80.97,73.89
22,411,422,300,72.99,71.56,65.39
23,387,429,276,71.32,65.97,60.78
24,415,434,355,85.54,81.8,80.24
25,401,411,309,77.06,75.43,66.36
