field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,372,389,253,68.01,64.27,62.89
2,384,426,252,65.62,59.39,58.55
3,393,449,291,74.05,64.81,64.16
4,348,378,246,70.69,64.81,61.76
5,405,435,285,70.37,65.29,63.43
6,357,388,230,64.43,59.28,56.86
7,349,380,248,71.06,62.89,64.82
8,358,413,223,62.29,53.75,55.3
9,359,400,258,71.87,63.0,67.5
10,327,409,221,67.58,55.01,47.72
11,351,372,272,77.49,73.12,71.19
12,258,382,186,72.09,48.69,46.79
13,373,412,314,84.18,77.67,76.98
14,394,419,317,80.46,76.61,69.64
15,373,393,302,80.97,77.1,74.27
16,382,419,313,81.94,75.66,72.26
17,366,413,282,77.05,69.01,62.16
18,340,393,268,78.82,69.21,61.05
19,390,418,295,75.64,71.53,58.7
20,378,406,280,74.07,68.72,60.51
21,363,377,281,77.41,76.13,64.36
22,378,390,298,78.84,76.67,63.72
23,361,369,298,82.55,81.57,72.91
