field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,363,386,239,65.84,61.66,57.87
2,382,408,222,58.12,52.94,44.83
3,341,408,159,46.63,40.93,29.92
4,341,377,210,61.58,55.17,54.21
5,415,397,270,65.06,67.51,59.51
6,306,369,124,40.52,33.06,28.61
7,361,415,206,57.06,48.92,47.48
8,317,339,131,41.32,38.05,29.16
9,338,365,157,46.45,42.74,35.49
10,354,404,198,55.93,49.26,41.6
11,318,362,154,48.43,41.99,38.69
12,365,411,220,60.27,53.28,52.09
13,326,399,160,49.08,39.1,36.47
14,341,355,224,65.69,63.94,58.26
15,363,381,231,63.64,60.1,53.56
16,362,304,164,45.3,50.0,36.76
17,340,368,222,65.29,61.14,59.34
18,323,416,191,59.13,45.67,47.33
19,357,389,222,62.18,56.81,53.73
20,370,377,223,60.27,59.95,53.13
21,408,445,240,58.82,53.93,51.37
