,ID,condition,coords
e295,e295,e,"[[516.      469.66666]
 [533.3333  436.33334]
 [520.6667  553.     ]
 [503.33334 562.3333 ]
 [527.3333  612.3333 ]
 [635.3333  588.3333 ]
 [718.      521.     ]
 [598.6667  531.     ]
 [641.3333  448.33334]
 [608.      623.6667 ]
 [569.3333  590.3333 ]
 [632.6667  470.33334]
 [680.6667  495.66666]
 [515.3333  517.     ]
 [561.3333  463.66666]
 [683.3333  551.     ]
 [634.      511.66666]]"
d564,d564,d,"[[517.6667  690.     ]
 [533.6667  576.     ]
 [409.66666 680.     ]
 [487.33334 557.3333 ]
 [349.33334 498.     ]
 [495.3333  380.     ]
 [505.3333  329.33334]
 [400.      382.66666]]"
e299,e299,e,"[[708.  435.5]
 [718.5 474.5]
 [679.  464. ]
 [676.5 443.5]
 [792.5 514. ]
 [806.  503.5]
 [692.  539.5]]"
d256,d256,d,"[[821.6667 533.    ]
 [750.3333 553.    ]
 [745.6667 532.3333]]"
d507,d507,d,"[[753. 304.]
 [776. 492.]
 [720. 475.]]"
d407,d407,d,"[[590.6667 480.    ]
 [542.6667 558.6667]
 [534.     610.6667]]"
d136,d136,d,"[[643.6667  365.66666]
 [526.3333  444.33334]]"
e4011,e4011,e,"[[211.33333 567.     ]
 [252.      453.66666]
 [225.33333 533.     ]
 [299.5     544.     ]
 [338.5     559.     ]
 [354.5     665.     ]]"
e184,e184,e,"[[586.  449. ]
 [572.5 482.5]
 [603.5 448. ]
 [620.5 425. ]
 [592.5 475. ]
 [635.5 490.5]
 [623.  374.5]
 [517.5 419. ]
 [686.5 489. ]
 [640.  516.5]]"
d124,d124,d,"[[1135.6666    111.333336]
 [1109.6666    158.66667 ]
 [1219.        220.      ]
 [1215.6666    288.66666 ]]"
e4003,e4003,e,"[[537. 490.]
 [609. 559.]
 [517. 523.]
 [525. 656.]
 [546. 629.]]"
e196,e196,e,"[[710.6667 835.    ]
 [522.6667 982.3333]
 [546.6667 895.6667]
 [588.6667 833.6667]
 [714.6667 857.    ]
 [605.3333 986.3333]
 [570.6667 823.    ]]"
e221,e221,e,"[[679.5 620. ]
 [677.  535.5]
 [729.5 690. ]
 [529.  545. ]
 [545.  498.5]
 [551.  465. ]]"
e274,e274,e,"[[579.5 496.5]
 [460.5 482. ]
 [508.5 503.5]
 [639.5 511. ]
 [487.5 587.5]
 [606.  462. ]
 [628.5 557. ]
 [652.5 608. ]
 [523.5 592. ]]"
d589,d589,d,"[[578.3333 652.6667]
 [677.     712.    ]]"
e209,e209,e,"[[571.6667  579.     ]
 [568.3333  555.3333 ]
 [536.      609.6667 ]
 [608.3333  500.66666]
 [542.3333  670.6667 ]]"
v6010,v6010,v,"[[2718.     3653.6667]
 [2707.3333 3744.3333]
 [2726.     3861.6667]]"
e4048,e4048,e,"[[474.66666 489.33334]
 [546.      547.3333 ]
 [504.66666 420.     ]
 [496.66666 437.33334]]"
e4039,e4039,e,"[[722. 430.]
 [700. 430.]
 [658. 439.]
 [666. 463.]
 [835. 468.]
 [804. 438.]
 [730. 556.]]"
e4044,e4044,e,"[[477.      536.3333 ]
 [633.      439.66666]
 [616.3333  467.66666]]"
e4027,e4027,e,"[[880. 265.]
 [828. 286.]
 [767. 522.]
 [858. 421.]]"
e205,e205,e,"[[779.6667 574.6667]
 [843.3333 599.    ]
 [795.     572.5   ]
 [636.     562.    ]
 [635.3333 602.3333]
 [594.6667 549.6667]
 [631.3333 533.    ]
 [660.3333 555.    ]]"
d126,d126,d,"[[608.3333  550.6667 ]
 [644.3333  594.6667 ]
 [675.      475.33334]]"
e4013,e4013,e,"[[523. 285.]
 [483. 411.]
 [495. 437.]
 [509. 464.]
 [523. 482.]
 [514. 429.]]"
e4036a,e4036a,e,"[[761.      443.66666]
 [863.      512.3333 ]]"
