,ID,condition,coords
e291,e291,e,"[[815.5     543.8333 ]
 [811.8333  534.1666 ]
 [809.8333  526.8333 ]
 [809.1667  517.1666 ]
 [806.8333  509.8333 ]
 [806.8333  503.49997]
 [805.5     495.8333 ]
 [803.1667  488.16666]
 [800.8333  480.49997]
 [798.5     472.49997]
 [792.8333  458.49997]]"
e173,e173,e,"[[750.5     521.8333 ]
 [760.8333  509.8333 ]
 [766.5     501.49997]
 [774.8333  493.49997]
 [784.8333  478.8333 ]]"
d1910,d1910,d,"[[805.     701.    ]
 [792.6667 692.5   ]
 [782.6667 681.1667]
 [779.     674.25  ]
 [777.5    668.5   ]
 [774.5    661.25  ]
 [770.25   654.5   ]
 [765.5    649.    ]
 [761.5    643.75  ]
 [756.     639.25  ]
 [748.75   634.    ]
 [740.5    629.    ]
 [732.1667 625.3333]
 [727.5    624.    ]]"
v4131,v4131,v,"[[549.5 648. ]
 [561.  661.5]
 [578.5 676.5]
 [589.5 691.5]
 [602.  705. ]
 [620.5 714. ]
 [637.5 723. ]
 [650.5 735.5]
 [655.5 738.5]]"
e4097,e4097,e,"[[548.  832. ]
 [552.5 850.5]
 [554.5 863. ]
 [560.  872. ]
 [565.5 885.5]
 [574.5 898.5]
 [580.5 911. ]
 [588.5 929.5]
 [595.  943.5]
 [604.5 956.5]
 [617.  970. ]]"
e262,e262,e,"[[641.75 505.75]
 [643.   495.25]
 [644.75 485.  ]
 [646.75 470.75]
 [647.5  462.  ]
 [649.5  451.75]
 [653.75 439.5 ]
 [658.5  429.5 ]
 [664.   421.  ]
 [665.5  418.25]]"
e201,e201,e,"[[729.1667 525.5   ]
 [734.5    534.1667]
 [742.8334 546.8333]
 [748.5    558.1667]
 [751.8334 566.8333]
 [761.8334 576.1667]
 [770.5    581.5   ]
 [776.5    593.5   ]
 [781.8334 599.8333]
 [789.5    604.8333]
 [799.1667 616.8333]
 [805.5    624.1667]
 [813.1667 632.1667]]"
v6006,v6006,v,"[[1899 3125]
 [1875 3127]
 [1848 3137]
 [1827 3147]
 [1806 3157]
 [1787 3169]
 [1763 3183]
 [1748 3193]
 [1739 3200]]"
e4052,e4052,e,"[[507.25 366.25]
 [493.25 362.  ]
 [479.5  360.75]
 [462.5  359.5 ]
 [446.5  359.  ]]"
e270,e270,e,"[[575.5 413. ]
 [586.5 422. ]
 [598.  435. ]
 [609.5 451.5]
 [620.  467. ]
 [632.  486. ]
 [646.5 504.5]
 [656.  516.5]
 [666.5 528.5]
 [678.  545. ]
 [688.5 562. ]
 [693.  574. ]
 [707.  590.5]]"
