field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,394,425,263,66.75,61.65,58.1
2,354,397,231,65.25,58.44,58.11
3,378,390,249,65.87,63.85,57.45
4,406,395,242,59.61,62.28,48.06
5,386,426,250,64.77,57.75,54.52
6,424,437,265,62.5,60.87,53.64
7,411,432,318,77.37,71.99,69.16
8,374,397,259,69.25,65.49,56.93
9,417,425,273,65.47,65.18,57.22
10,414,426,309,74.64,73.47,67.23
11,390,408,279,71.54,68.38,63.4
12,354,391,255,72.03,65.22,63.18
13,398,402,282,70.85,69.65,63.32
14,432,438,319,73.84,72.6,64.22
15,440,421,310,70.45,75.06,61.02
16,423,431,267,63.12,62.41,55.85
17,378,397,285,75.4,71.28,68.45
18,391,422,261,66.75,62.09,58.27
19,408,426,295,72.3,69.95,65.65
20,406,396,257,63.3,65.91,57.57
21,431,437,262,60.79,61.56,50.88
