field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,405,411,303,74.81,73.24,63.1
2,421,419,308,73.16,73.99,62.14
3,387,410,280,72.35,69.51,62.79
4,346,380,279,80.64,74.47,69.39
5,373,370,271,72.65,73.51,64.57
6,392,412,297,75.77,73.06,64.64
7,420,433,318,75.71,74.13,64.87
8,392,394,295,75.26,74.87,69.87
9,409,394,297,72.62,74.11,63.69
10,400,389,279,69.75,72.75,61.82
11,410,391,276,67.32,70.84,63.07
12,402,413,321,79.85,78.93,69.73
13,442,447,333,75.34,74.94,66.91
14,408,425,315,77.21,74.82,70.32
15,403,413,311,77.17,76.27,58.5
16,398,440,314,78.89,72.27,69.72
17,416,407,316,75.96,77.89,65.46
18,383,426,291,75.98,69.25,57.46
19,433,444,351,81.06,79.05,72.7
20,423,450,338,79.91,74.67,69.9
21,363,407,259,71.35,64.62,58.67
22,412,445,306,74.27,69.89,65.12
23,411,405,299,72.75,74.32,63.97
24,406,414,299,73.65,72.71,64.97
25,397,401,323,81.36,79.3,71.88
