field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,373,418,308,82.57,73.92,73.77
2,365,379,300,82.19,78.63,76.53
3,361,379,294,81.44,78.36,73.76
4,342,358,268,78.36,75.14,57.48
5,374,424,316,84.49,75.71,73.85
6,388,408,309,79.64,76.23,71.42
7,389,404,302,77.63,74.26,68.27
8,416,429,335,80.53,78.55,73.14
9,385,413,334,86.75,81.36,79.69
10,442,424,364,82.35,86.56,72.65
11,364,385,299,82.14,78.96,68.74
12,351,371,288,82.05,78.17,73.94
13,405,426,330,81.48,78.87,71.79
14,355,382,297,83.66,78.8,76.06
15,371,423,303,81.67,72.58,71.38
16,389,414,333,85.6,79.95,75.65
17,385,421,322,83.64,77.91,75.87
18,405,447,337,83.21,76.06,72.52
19,396,405,296,74.75,74.07,65.77
20,404,426,328,81.19,77.93,72.48
21,431,450,360,83.53,80.22,77.18
22,390,416,345,88.46,83.41,81.09
23,360,395,279,77.5,71.65,70.67
24,400,398,304,76.0,77.14,66.94
