field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,389,418,332,85.35,80.86,78.41
2,431,483,365,84.69,76.6,72.37
3,417,423,344,82.49,82.27,73.06
4,422,459,358,84.83,78.43,77.33
5,424,462,362,85.38,79.22,74.0
6,352,394,291,82.67,75.38,73.43
7,414,434,314,75.85,73.04,66.57
8,373,392,285,76.41,74.23,67.35
9,376,407,308,81.91,76.17,68.42
10,364,388,285,78.3,74.23,70.83
11,368,428,275,74.73,66.12,64.21
12,398,423,295,74.12,70.69,64.41
13,412,453,331,80.34,74.17,70.07
14,392,419,320,81.63,76.13,71.66
15,358,389,287,80.17,74.29,71.84
16,408,411,309,75.74,75.43,63.59
17,402,431,315,78.36,73.55,71.23
18,399,407,305,76.44,74.94,69.24
19,391,412,317,81.07,78.4,74.61
20,404,427,314,77.72,74.24,66.04
21,398,449,345,86.68,77.73,75.79
22,408,402,334,81.86,83.83,74.73
23,382,420,310,81.15,74.76,68.16
24,366,387,276,75.41,72.09,69.23
25,406,426,319,78.57,75.12,67.13
