field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,427,431,312,73.07,73.55,58.01
2,362,371,276,76.24,75.2,60.92
3,410,420,336,81.95,78.81,75.19
4,412,436,319,77.43,73.85,66.05
5,393,393,303,77.1,79.39,62.03
6,413,409,329,79.66,79.22,63.59
7,413,390,288,69.73,73.59,54.66
8,406,417,306,75.37,75.06,58.47
9,412,431,325,78.88,76.33,63.77
10,415,414,340,81.93,81.64,71.15
11,374,386,301,80.48,77.98,75.01
12,383,402,299,78.07,73.88,68.68
13,406,424,325,80.05,76.89,73.6
14,386,388,315,81.61,83.51,66.45
15,387,409,316,81.65,77.26,71.68
16,369,388,302,81.84,78.35,73.19
17,443,470,372,83.97,80.21,73.82
18,375,405,316,84.27,79.26,78.26
19,409,425,341,83.37,81.41,76.91
20,371,417,293,78.98,70.5,63.87
21,418,453,359,85.89,80.13,77.51
22,366,383,289,78.96,75.72,72.15
23,388,410,335,86.34,81.71,80.24
24,388,423,320,82.47,76.83,73.29
25,401,417,340,84.79,82.25,78.26
