field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,416,443,237,56.97,53.27,47.71
2,396,394,237,59.85,59.9,52.59
3,339,385,198,58.41,50.91,51.07
4,402,397,219,54.48,54.41,45.7
5,392,392,239,60.97,60.2,51.9
6,363,407,166,45.73,41.77,35.86
7,371,409,253,68.19,60.88,60.99
8,343,395,209,60.93,52.66,52.63
9,354,350,210,59.32,58.57,51.47
10,372,409,224,60.22,55.75,50.9
11,399,428,285,71.43,66.12,61.35
12,386,453,283,73.32,62.47,64.16
13,368,388,261,70.92,66.49,61.68
14,381,402,272,71.39,66.92,63.01
15,362,430,261,72.1,60.7,60.17
16,361,409,218,60.39,52.32,50.83
17,398,445,268,67.34,60.0,56.59
18,402,402,256,63.68,63.68,54.48
19,363,413,276,76.03,66.83,59.47
20,356,402,240,67.42,60.7,58.53
21,361,411,249,68.98,60.83,60.07
22,317,349,189,59.62,53.58,49.64
