field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,351,425,284,80.91,69.88,68.44
2,430,410,313,72.79,76.34,67.59
3,452,474,347,76.77,73.0,57.16
4,421,412,330,78.38,79.85,74.25
5,384,404,317,82.55,78.71,65.69
6,411,408,288,70.07,71.08,56.47
7,404,441,334,82.67,76.64,71.56
8,367,396,305,83.11,77.53,60.44
9,416,440,347,83.41,79.32,75.6
10,450,447,347,77.11,78.75,69.04
11,410,436,348,84.88,80.28,64.49
12,433,411,342,78.98,83.21,72.36
13,431,405,340,78.89,83.95,64.82
14,377,411,302,80.11,73.48,58.63
15,430,453,330,76.74,72.41,61.88
16,458,444,379,82.75,85.36,74.69
17,409,409,325,79.46,80.2,72.14
18,393,411,328,83.46,80.29,76.92
19,362,389,265,73.2,68.89,62.43
20,397,417,324,81.61,77.46,70.65
21,391,399,313,80.05,79.2,63.39
22,381,413,293,76.9,71.91,68.79
23,382,432,307,80.37,71.3,70.72
24,413,423,319,77.24,75.89,69.04
25,391,402,275,70.33,69.15,60.89
26,413,395,318,77.0,80.51,69.82
