field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,355,361,216,60.85,59.83,55.74
2,393,416,223,56.74,52.88,49.99
3,387,383,228,58.91,59.27,52.43
4,370,375,216,58.38,56.53,49.09
5,376,381,240,63.83,62.99,57.61
6,387,433,229,59.17,53.58,51.71
8,399,398,249,62.41,61.81,52.25
9,384,414,252,65.62,60.87,55.94
10,385,377,213,55.32,56.23,48.46
11,366,406,230,62.84,56.65,55.89
12,349,369,201,57.59,53.66,49.45
13,386,407,232,60.1,56.27,50.91
14,400,439,275,68.75,62.87,59.47
15,390,401,229,58.72,56.61,48.61
16,375,414,187,49.87,44.93,35.69
17,319,364,190,59.56,51.65,48.4
