field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,317,370,274,86.44,74.59,74.8
2,372,393,278,74.73,71.5,65.74
3,387,403,291,75.19,72.7,67.62
4,394,426,321,81.47,77.0,71.87
5,384,424,316,82.29,75.47,71.48
6,448,457,352,78.57,77.02,73.1
7,390,427,303,77.69,71.9,53.25
8,417,430,336,80.58,78.84,73.41
9,402,420,301,74.88,72.14,70.1
10,394,433,288,73.1,67.67,64.89
11,392,423,291,74.23,67.85,61.04
12,406,414,314,77.34,75.85,71.43
13,393,439,315,80.15,72.89,74.73
14,378,404,309,81.75,76.49,74.58
15,421,403,315,74.82,77.92,66.73
16,368,411,310,84.24,75.91,77.22
17,387,395,311,80.36,80.0,74.19
18,358,385,284,79.33,73.25,70.58
19,396,430,341,86.11,81.4,78.36
20,342,396,282,82.46,72.47,73.71
21,354,393,291,82.2,75.32,73.7
22,363,416,257,70.8,62.02,62.4
23,405,436,331,81.73,77.06,73.27
24,354,384,283,79.94,75.0,72.46
