field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,400,403,318,79.5,79.16,69.82
2,341,335,271,79.47,80.0,63.2
3,378,379,254,67.2,68.07,51.27
4,377,427,329,87.27,77.99,77.49
5,382,391,310,81.15,79.03,73.53
6,399,385,301,75.44,77.92,66.82
7,375,408,278,74.13,67.65,55.16
8,391,393,296,75.7,75.06,70.15
9,381,395,297,77.95,74.94,69.96
10,376,396,299,79.52,75.51,68.64
11,391,396,308,78.77,77.27,66.55
12,354,395,300,84.75,76.46,72.27
13,385,399,299,77.66,74.94,68.4
14,428,454,356,83.18,79.07,72.17
15,364,393,289,79.4,74.05,73.12
16,341,359,269,78.89,75.21,70.58
17,371,406,292,78.71,72.66,69.21
18,361,414,286,79.22,69.32,60.11
19,372,388,290,77.96,75.26,67.82
20,327,343,255,77.98,75.22,69.05
21,377,418,269,71.35,64.59,51.95
22,399,398,317,79.45,80.9,72.2
23,353,386,280,79.32,73.83,70.8
24,313,365,247,78.91,67.67,70.28
25,361,378,296,81.99,78.57,73.8
