field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,402,409,302,75.12,75.06,68.8
2,404,431,338,83.66,79.12,74.24
3,381,417,311,81.63,76.5,73.56
4,402,413,302,75.12,73.85,65.78
5,450,446,352,78.22,78.7,71.12
6,411,411,314,76.4,76.89,65.39
7,405,427,315,77.78,74.0,70.86
8,408,434,340,83.33,79.03,75.99
9,381,421,308,80.84,74.35,74.4
10,427,450,348,81.5,77.56,74.09
11,374,391,290,77.54,74.68,67.27
12,407,441,341,83.78,76.87,74.64
13,413,438,343,83.05,79.22,74.95
14,417,424,318,76.26,76.18,69.06
15,427,480,333,77.99,70.21,66.12
16,413,435,305,73.85,70.11,63.21
17,450,472,364,80.89,78.18,70.3
18,419,422,345,82.34,81.04,76.84
19,425,454,342,80.47,77.31,60.83
20,415,410,300,72.29,74.15,67.47
21,443,429,337,76.07,79.49,68.75
22,395,411,314,79.49,77.86,73.8
23,403,435,323,80.15,74.71,71.46
24,399,412,330,82.71,81.55,72.95
25,378,398,281,74.34,71.86,66.86
