field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,394,420,329,83.5,79.05,78.45
2,387,405,328,84.75,80.99,79.3
3,371,405,301,81.13,76.54,74.22
4,333,405,305,91.59,75.8,79.06
5,382,431,329,86.13,77.03,80.01
6,384,416,328,85.42,80.05,79.36
7,376,400,311,82.71,78.0,76.69
8,380,401,307,80.79,77.31,76.38
9,395,397,328,83.04,84.13,74.37
10,380,405,326,85.79,81.73,77.96
11,373,391,296,79.36,76.21,71.55
12,366,393,313,85.52,80.66,78.86
13,361,392,279,77.29,72.45,71.43
14,376,388,319,84.84,82.99,77.97
15,349,428,282,80.8,66.59,70.18
16,385,415,310,80.52,75.66,68.98
17,406,447,344,84.73,77.85,72.68
18,340,389,268,78.82,69.67,62.15
19,364,394,299,82.14,76.65,76.01
20,355,396,303,85.35,77.27,68.91
21,370,390,323,87.3,83.08,79.82
22,367,399,60,16.35,14.29,4.26
23,279,408,45,16.13,10.29,4.17
24,344,413,54,15.7,12.83,4.47
