field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,386,414,321,83.16,78.26,77.7
2,415,440,329,79.28,75.45,72.8
3,402,415,292,72.64,70.84,66.28
4,382,406,289,75.65,73.65,66.51
5,356,402,278,78.09,70.9,67.47
6,404,416,336,83.17,81.49,77.17
7,356,410,273,76.69,68.05,66.45
8,424,440,334,78.77,77.05,71.29
9,407,447,298,73.22,66.89,61.07
10,354,380,277,78.25,74.74,69.2
11,401,438,313,78.05,72.37,70.46
12,381,412,324,85.04,79.37,75.15
13,389,428,320,82.26,74.77,71.83
14,380,404,318,83.68,79.21,73.66
15,371,383,295,79.51,77.28,71.49
16,371,416,291,78.44,71.39,69.81
17,369,393,309,83.74,79.9,76.93
18,372,400,311,83.6,80.0,74.9
19,358,375,298,83.24,80.27,74.53
20,427,445,356,83.37,81.12,74.23
21,381,393,292,76.64,75.57,67.4
22,394,433,310,78.68,72.75,70.76
23,400,420,333,83.25,80.48,75.04
24,361,382,294,81.44,76.96,73.24
25,419,430,330,78.76,77.21,67.99
