field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,347,354,221,63.69,62.99,56.97
2,370,409,254,68.65,63.33,59.73
3,299,376,215,71.91,58.51,53.31
4,376,392,245,65.16,63.01,56.67
5,386,423,247,63.99,58.39,54.67
6,378,379,248,65.61,64.64,57.17
7,391,414,276,70.59,66.67,60.51
8,377,405,254,67.37,62.96,56.03
9,356,379,248,69.66,65.17,61.48
10,407,423,297,72.97,69.98,64.14
11,376,324,230,61.17,69.14,53.16
12,378,399,247,65.34,61.9,55.97
13,367,412,246,67.03,60.19,56.03
14,373,392,250,67.02,63.52,58.87
15,364,365,240,65.93,65.48,60.56
16,374,427,235,62.83,55.27,53.73
17,348,376,248,71.26,65.96,56.64
18,372,401,256,68.82,63.34,53.86
19,381,399,289,75.85,71.43,65.47
20,343,365,214,62.39,58.08,54.83
21,364,377,261,71.7,68.17,63.02
