field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,213,327,74,34.74,21.71,18.42
2,292,375,156,53.42,41.6,44.5
3,380,419,218,57.37,51.55,49.47
4,318,379,211,66.35,55.41,57.03
5,376,386,251,66.76,65.03,61.06
6,352,426,242,68.75,57.28,46.7
7,320,385,201,62.81,51.69,51.93
8,322,374,222,68.94,59.89,60.49
9,325,379,229,70.46,61.48,51.25
10,344,400,238,69.19,59.75,58.34
11,349,394,261,74.79,67.77,67.12
12,384,430,274,71.35,64.65,60.18
13,349,415,201,57.59,47.23,42.36
14,329,373,228,69.3,60.86,57.78
15,365,387,228,62.47,56.59,53.66
16,357,405,219,61.34,52.35,50.61
17,382,422,257,67.28,59.95,61.19
18,344,334,237,68.9,68.86,55.61
