field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,387,403,259,66.93,65.01,51.23
2,350,364,243,69.43,67.03,55.61
3,400,440,270,67.5,61.14,52.96
4,397,392,287,72.29,73.47,57.47
5,360,407,249,69.17,61.92,57.08
6,318,391,252,79.25,64.45,69.06
7,368,400,285,77.45,72.0,66.78
8,388,394,308,79.38,77.66,62.8
9,365,391,243,66.58,62.15,51.63
10,388,425,256,65.98,60.0,45.96
11,375,380,226,60.27,58.95,44.2
12,382,395,252,65.97,64.05,49.48
13,438,446,328,74.89,73.99,59.87
14,384,414,305,79.43,73.91,71.21
15,384,402,283,73.7,71.39,66.47
16,405,444,319,78.77,71.4,71.6
17,373,425,242,64.88,56.47,44.95
18,380,369,222,58.42,60.16,39.78
19,395,384,257,65.06,65.89,51.28
20,383,372,229,59.79,60.48,44.19
21,401,420,258,64.34,60.95,50.61
22,377,388,214,56.76,55.41,38.73
23,400,402,279,69.75,69.4,54.08
24,407,411,330,81.08,80.29,75.57
25,434,434,303,69.82,69.59,51.67
26,334,363,275,82.34,75.76,74.56
