field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,338,380,283,83.73,75.53,74.82
2,421,428,360,85.51,83.88,80.9
3,374,386,293,78.34,76.94,72.15
4,379,403,319,84.17,79.65,66.41
5,397,417,333,83.88,81.06,66.58
6,421,457,374,88.84,82.93,71.22
7,381,415,322,84.51,78.55,77.29
8,392,410,324,82.65,79.51,74.84
9,372,378,317,85.22,83.6,66.07
10,394,429,345,87.56,81.35,78.82
11,388,404,336,86.6,83.17,75.66
12,396,397,312,78.79,78.34,63.46
13,377,413,304,80.64,74.33,72.33
14,365,380,296,81.1,78.95,68.61
15,372,392,300,80.65,77.04,65.24
16,353,396,307,86.97,78.79,69.92
17,396,413,336,84.85,80.63,65.88
