field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,382,374,282,73.82,77.01,67.62
2,371,377,267,71.97,72.15,66.99
3,402,397,307,76.37,78.09,69.87
4,368,397,302,82.07,77.58,73.82
5,439,484,341,77.68,71.07,66.46
6,387,421,290,74.94,70.31,65.37
7,424,458,352,83.02,77.51,75.76
8,423,455,353,83.45,78.02,75.53
9,391,409,314,80.31,77.02,71.19
10,417,434,351,84.17,81.57,73.13
11,384,420,289,75.26,69.76,64.44
12,361,412,249,68.98,61.41,57.44
13,428,452,316,73.83,70.35,66.16
14,392,415,291,74.23,69.88,65.68
15,394,404,301,76.4,76.24,67.2
16,393,425,255,64.89,60.0,52.94
17,368,398,286,77.72,70.85,71.79
18,369,419,264,71.54,63.96,50.27
19,373,359,231,61.93,62.95,47.19
20,339,302,174,51.33,55.63,35.99
21,399,411,216,54.14,53.04,40.82
22,396,391,225,56.82,56.78,42.99
23,395,402,273,69.11,67.41,55.32
24,404,378,253,62.62,66.67,48.84
25,373,407,197,52.82,49.14,36.08
