field,n_syn,n_fm,n_syn_matched,pct_syn_with_fm,pct_fm_with_syn,pct_pixel_overlap
1,455,499,375,82.42,77.15,70.27
2,420,442,323,76.9,73.53,64.93
3,401,401,312,77.81,78.05,59.61
4,427,452,355,83.14,78.76,72.16
5,429,429,331,77.16,78.79,72.39
6,440,449,359,81.59,81.07,63.34
7,372,445,331,88.98,75.28,78.88
8,422,403,285,67.54,71.22,63.26
9,424,430,331,78.07,76.98,67.7
10,419,443,326,77.8,74.27,62.71
11,356,387,290,81.46,75.19,72.84
12,394,417,271,68.78,65.47,63.8
13,359,393,276,76.88,71.76,65.94
14,395,408,298,75.44,74.26,63.61
15,366,397,287,78.42,73.8,66.78
16,357,376,231,64.71,61.44,56.08
17,395,430,305,77.22,71.63,66.63
18,447,453,345,77.18,77.04,69.55
19,432,440,318,73.61,72.5,63.69
20,397,439,273,68.77,61.96,57.7
21,383,419,302,78.85,73.27,71.51
22,449,446,359,79.96,80.94,73.28
23,436,417,298,68.35,71.22,58.84
24,433,456,322,74.36,71.93,63.1
25,432,442,322,74.54,73.98,64.37
26,409,419,321,78.48,77.09,71.69
27,433,415,290,66.97,69.88,61.08
